event_date,event_name,event_type,event_utc,p_-60m,p_-30m,p_-15m,p_-10m,p_+0m,p_+5m,p_+15m,p_+30m,p_+60m,p_+120m
2025-01-14,PPI_Dec2024,PPI,2025-01-14 13:30,3183.52,3182.4,3184.0,3182.83,3179.96,3219.18,3203.31,3207.12,3213.3,3201.52
2025-01-15,CPI_Dec2024,CPI,2025-01-15 13:30,3187.5,3200.67,3206.92,3208.46,3216.8,3275.73,3268.42,3297.01,3287.01,3347.2
2025-02-12,CPI_Jan2025,CPI,2025-02-12 13:30,2629.55,2627.03,2632.18,2645.49,2658.52,2588.61,2593.34,2594.62,2569.3,2597.21
2025-02-13,PPI_Jan2025,PPI,2025-02-13 13:30,2662.52,2654.71,2657.92,2661.45,2654.98,2668.5,2659.68,2657.61,2645.03,2644.01
2025-03-12,CPI_Feb2025,CPI,2025-03-12 12:30,1910.45,1915.82,1910.46,1914.35,1923.66,1925.77,1919.79,1928.39,1907.51,1876.66
2025-03-13,PPI_Feb2025,PPI,2025-03-13 12:30,1890.27,1899.62,1892.48,1899.47,1906.58,1902.38,1899.43,1896.29,1899.14,1883.48
2025-04-10,CPI_Mar2025,CPI,2025-04-10 12:30,1586.04,1593.91,1595.9,1599.84,1612.7,1602.94,1598.24,1592.62,1588.03,1569.45
2025-04-11,PPI_Mar2025,PPI,2025-04-11 12:30,1558.96,1557.94,1557.4,1559.22,1559.02,1565.42,1563.04,1557.4,1557.85,1545.02
2025-05-13,CPI_Apr2025,CPI,2025-05-13 12:30,2497.81,2512.25,2499.65,2498.89,2502.24,2517.95,2534.58,2523.62,2543.2,2550.85
2025-05-15,PPI_Apr2025,PPI,2025-05-15 12:30,2555.36,2553.81,2546.13,2547.74,2549.79,2576.09,2565.27,2551.88,2560.21,2514.79
2025-06-11,CPI_May2025,CPI,2025-06-11 12:30,2765.34,2771.82,2779.97,2769.72,2772.42,2807.71,2813.22,2804.32,2815.96,2842.28
2025-06-12,PPI_May2025,PPI,2025-06-12 12:30,2726.74,2728.76,2717.01,2721.57,2723.63,2737.24,2742.7,2735.44,2737.67,2758.6
2025-07-15,CPI_Jun2025,CPI,2025-07-15 12:30,2965.34,2980.16,2980.69,2976.36,2980.21,3005.59,2975.24,2999.4,3030.01,3046.66
2025-07-16,PPI_Jun2025,PPI,2025-07-16 12:30,3155.48,3149.9,3151.2,3151.04,3161.69,3165.1,3171.47,3163.82,3171.41,3195.0
2025-08-12,CPI_Jul2025,CPI,2025-08-12 12:30,4275.18,4289.35,4279.75,4279.96,4304.53,4352.42,4406.93,4404.92,4418.8,4404.99
2025-08-14,PPI_Jul2025,PPI,2025-08-14 12:30,4707.93,4718.99,4729.44,4719.39,4713.99,4560.59,4619.23,4568.48,4534.21,4655.0
2025-09-10,PPI_Aug2025,PPI,2025-09-10 12:30,4327.51,4329.58,4331.67,4334.27,4343.23,4375.67,4377.47,4369.27,4369.95,4423.0
2025-09-11,CPI_Aug2025,CPI,2025-09-11 12:30,4425.54,4428.06,4452.58,4444.78,4471.66,4399.57,4413.23,4424.44,4405.6,4406.73
2025-10-24,CPI_Sep2025_Delayed,CPI,2025-10-24 12:30,3953.69,3944.99,3952.38,3942.0,3953.53,3984.05,3975.61,3962.3,3964.66,3902.95
2025-11-25,PPI_Sep2025_Delayed,PPI,2025-11-25 13:30,2919.54,2925.99,2927.5,2928.06,2926.73,2929.0,2903.5,2906.07,2911.81,2883.5
2025-12-18,CPI_Nov2025_Delayed,CPI,2025-12-18 13:30,2856.99,2870.01,2902.93,2892.0,2889.5,2909.92,2936.61,2962.88,2961.52,2972.01
