event_name,event_type,exit_offset_min,entry_price,exit_price,pnl_pct,pnl_pct_after_fees
PPI_Dec2024,PPI,15,3182.83,3203.31,0.643453,0.543453
PPI_Dec2024,PPI,30,3182.83,3207.12,0.763157,0.663157
PPI_Dec2024,PPI,60,3182.83,3213.3,0.957324,0.857324
PPI_Dec2024,PPI,120,3182.83,3201.52,0.587213,0.487213
CPI_Dec2024,CPI,15,3208.46,3268.42,1.868809,1.768809
CPI_Dec2024,CPI,30,3208.46,3297.01,2.759891,2.659891
CPI_Dec2024,CPI,60,3208.46,3287.01,2.448215,2.348215
CPI_Dec2024,CPI,120,3208.46,3347.2,4.324193,4.224193
CPI_Jan2025,CPI,15,2645.49,2593.34,-1.971279,-2.071279
CPI_Jan2025,CPI,30,2645.49,2594.62,-1.922895,-2.022895
CPI_Jan2025,CPI,60,2645.49,2569.3,-2.879996,-2.979996
CPI_Jan2025,CPI,120,2645.49,2597.21,-1.824993,-1.924993
PPI_Jan2025,PPI,15,2661.45,2659.68,-0.066505,-0.166505
PPI_Jan2025,PPI,30,2661.45,2657.61,-0.144282,-0.244282
PPI_Jan2025,PPI,60,2661.45,2645.03,-0.616957,-0.716957
PPI_Jan2025,PPI,120,2661.45,2644.01,-0.655282,-0.755282
CPI_Feb2025,CPI,15,1914.35,1919.79,0.28417,0.18417
CPI_Feb2025,CPI,30,1914.35,1928.39,0.733408,0.633408
CPI_Feb2025,CPI,60,1914.35,1907.51,-0.357301,-0.457301
CPI_Feb2025,CPI,120,1914.35,1876.66,-1.968814,-2.068814
PPI_Feb2025,PPI,15,1899.47,1899.43,-0.002106,-0.102106
PPI_Feb2025,PPI,30,1899.47,1896.29,-0.167415,-0.267415
PPI_Feb2025,PPI,60,1899.47,1899.14,-0.017373,-0.117373
PPI_Feb2025,PPI,120,1899.47,1883.48,-0.841814,-0.941814
CPI_Mar2025,CPI,15,1599.84,1598.24,-0.10001,-0.20001
CPI_Mar2025,CPI,30,1599.84,1592.62,-0.451295,-0.551295
CPI_Mar2025,CPI,60,1599.84,1588.03,-0.738199,-0.838199
CPI_Mar2025,CPI,120,1599.84,1569.45,-1.899565,-1.999565
PPI_Mar2025,PPI,15,1559.22,1563.04,0.244994,0.144994
PPI_Mar2025,PPI,30,1559.22,1557.4,-0.116725,-0.216725
PPI_Mar2025,PPI,60,1559.22,1557.85,-0.087864,-0.187864
PPI_Mar2025,PPI,120,1559.22,1545.02,-0.910712,-1.010712
CPI_Apr2025,CPI,15,2498.89,2534.58,1.428234,1.328234
CPI_Apr2025,CPI,30,2498.89,2523.62,0.989639,0.889639
CPI_Apr2025,CPI,60,2498.89,2543.2,1.773187,1.673187
CPI_Apr2025,CPI,120,2498.89,2550.85,2.079323,1.979323
PPI_Apr2025,PPI,15,2547.74,2565.27,0.688061,0.588061
PPI_Apr2025,PPI,30,2547.74,2551.88,0.162497,0.062497
PPI_Apr2025,PPI,60,2547.74,2560.21,0.489453,0.389453
PPI_Apr2025,PPI,120,2547.74,2514.79,-1.293303,-1.393303
CPI_May2025,CPI,15,2769.72,2813.22,1.570556,1.470556
CPI_May2025,CPI,30,2769.72,2804.32,1.249224,1.149224
CPI_May2025,CPI,60,2769.72,2815.96,1.669483,1.569483
CPI_May2025,CPI,120,2769.72,2842.28,2.619759,2.519759
PPI_May2025,PPI,15,2721.57,2742.7,0.77639,0.67639
PPI_May2025,PPI,30,2721.57,2735.44,0.509632,0.409632
PPI_May2025,PPI,60,2721.57,2737.67,0.59157,0.49157
PPI_May2025,PPI,120,2721.57,2758.6,1.360612,1.260612
CPI_Jun2025,CPI,15,2976.36,2975.24,-0.03763,-0.13763
CPI_Jun2025,CPI,30,2976.36,2999.4,0.7741,0.6741
CPI_Jun2025,CPI,60,2976.36,3030.01,1.802537,1.702537
CPI_Jun2025,CPI,120,2976.36,3046.66,2.361945,2.261945
PPI_Jun2025,PPI,15,3151.04,3171.47,0.648357,0.548357
PPI_Jun2025,PPI,30,3151.04,3163.82,0.40558,0.30558
PPI_Jun2025,PPI,60,3151.04,3171.41,0.646453,0.546453
PPI_Jun2025,PPI,120,3151.04,3195.0,1.395095,1.295095
CPI_Jul2025,CPI,15,4279.96,4406.93,2.966617,2.866617
CPI_Jul2025,CPI,30,4279.96,4404.92,2.919653,2.819653
CPI_Jul2025,CPI,60,4279.96,4418.8,3.243956,3.143956
CPI_Jul2025,CPI,120,4279.96,4404.99,2.921289,2.821289
PPI_Jul2025,PPI,15,4719.39,4619.23,-2.122308,-2.222308
PPI_Jul2025,PPI,30,4719.39,4568.48,-3.197659,-3.297659
PPI_Jul2025,PPI,60,4719.39,4534.21,-3.923812,-4.023812
PPI_Jul2025,PPI,120,4719.39,4655.0,-1.364371,-1.464371
PPI_Aug2025,PPI,15,4334.27,4377.47,0.996708,0.896708
PPI_Aug2025,PPI,30,4334.27,4369.27,0.807518,0.707518
PPI_Aug2025,PPI,60,4334.27,4369.95,0.823207,0.723207
PPI_Aug2025,PPI,120,4334.27,4423.0,2.047173,1.947173
CPI_Aug2025,CPI,15,4444.78,4413.23,-0.709821,-0.809821
CPI_Aug2025,CPI,30,4444.78,4424.44,-0.457615,-0.557615
CPI_Aug2025,CPI,60,4444.78,4405.6,-0.881483,-0.981483
CPI_Aug2025,CPI,120,4444.78,4406.73,-0.85606,-0.95606
CPI_Sep2025_Delayed,CPI,15,3942.0,3975.61,0.852613,0.752613
CPI_Sep2025_Delayed,CPI,30,3942.0,3962.3,0.514967,0.414967
CPI_Sep2025_Delayed,CPI,60,3942.0,3964.66,0.574835,0.474835
CPI_Sep2025_Delayed,CPI,120,3942.0,3902.95,-0.990614,-1.090614
PPI_Sep2025_Delayed,PPI,15,2928.06,2903.5,-0.838781,-0.938781
PPI_Sep2025_Delayed,PPI,30,2928.06,2906.07,-0.751009,-0.851009
PPI_Sep2025_Delayed,PPI,60,2928.06,2911.81,-0.554975,-0.654975
PPI_Sep2025_Delayed,PPI,120,2928.06,2883.5,-1.521827,-1.621827
CPI_Nov2025_Delayed,CPI,15,2892.0,2936.61,1.542531,1.442531
CPI_Nov2025_Delayed,CPI,30,2892.0,2962.88,2.450899,2.350899
CPI_Nov2025_Delayed,CPI,60,2892.0,2961.52,2.403873,2.303873
CPI_Nov2025_Delayed,CPI,120,2892.0,2972.01,2.766598,2.666598
