,cumulative_return_pct,cumulative_return_pct,max_drawdown_pct,max_drawdown_pct,mean_excl_largest_winner,mean_excl_largest_winner,win_rate,win_rate
anchor,A_statement_1400ET,B_pressconf_1430ET,A_statement_1400ET,B_pressconf_1430ET,A_statement_1400ET,B_pressconf_1430ET,A_statement_1400ET,B_pressconf_1430ET
config,,,,,,,,
straddle_TP0.5_SL0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
straddle_TP0.5_SL1.0,-2.4824,1.9948,-2.4824,-0.9975,-0.5,0.1429,0.125,0.5
straddle_TP0.5_SL1.5,-0.04,0.7059,-1.99,-1.2587,-0.1429,-0.0373,0.5,0.5
straddle_TP0.5_SL2.0,-2.0441,-0.8123,-3.014,-2.0073,-0.4286,-0.2516,0.5,0.5
straddle_TP1.0_SL0.5,2.5174,-2.0047,-1.0,-2.9774,0.2857,-0.3571,0.875,0.5
straddle_TP1.0_SL1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
straddle_TP1.0_SL1.5,-1.867,0.2139,-1.985,-0.9975,-0.3757,-0.2516,0.25,0.25
straddle_TP1.0_SL2.0,-1.9037,1.1909,-3.8271,-1.7561,-0.5534,-0.1088,0.375,0.375
straddle_TP1.5_SL0.5,-0.04,-0.7711,-2.9701,-2.0096,-0.1429,-0.2484,0.5,0.5
straddle_TP1.5_SL1.0,1.88,-0.2639,-1.1236,-2.0,0.1962,-0.1055,0.75,0.5
straddle_TP1.5_SL1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
straddle_TP1.5_SL2.0,-2.4681,1.4627,-2.4751,-1.4925,-0.3571,-0.2143,0.125,0.125
straddle_TP2.0_SL0.5,1.9542,0.7099,-2.9701,-1.99,0.0714,-0.1055,0.5,0.5
straddle_TP2.0_SL1.0,1.8417,-1.2861,-2.0,-2.9996,0.1248,-0.3198,0.625,0.375
straddle_TP2.0_SL1.5,2.5178,-1.5377,-0.0072,-3.0,0.2847,-0.2857,0.625,0.375
straddle_TP2.0_SL2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
straddle_TP3.0_SL0.5,-4.2521,3.716,-5.6438,-1.99,-0.9687,0.1802,0.125,0.5
straddle_TP3.0_SL1.0,-4.419,1.6751,-5.0391,-2.0392,-0.9154,-0.0341,0.25,0.375
straddle_TP3.0_SL1.5,-2.7203,1.4308,-4.1511,-3.0,-0.5957,0.0,0.25,0.375
straddle_TP3.0_SL2.0,-4.1077,3.0301,-5.0571,0.0,-0.7311,0.2857,0.25,0.375
