group,strategy,exit_offset_min,n,mean,median,win_rate,best_event,best_value,worst_event,worst_value,mean_excl_largest_winner,mean_excl_largest_loser,mean_afterfees,win_rate_afterfees
Powell,pre_long,15,4,2.0782,0.8595,0.75,Jackson_Hole,6.7277,Economic_Outlook,-0.1338,0.5284,2.8156,1.9782,0.75
Powell,pre_long,30,4,2.0979,1.1431,0.75,Jackson_Hole,6.3237,Economic_Outlook,-0.2184,0.6893,2.8699,1.9979,0.75
Powell,pre_long,60,4,2.1581,0.9984,0.75,Jackson_Hole,7.1518,Economic_Outlook,-0.5163,0.4935,3.0495,2.0581,0.75
Powell,pre_long,120,4,2.2127,1.1011,0.75,Jackson_Hole,7.2015,Economic_Outlook,-0.5531,0.5497,3.1346,2.1127,0.75
Powell,pre_short,15,4,-2.0782,-0.8595,0.25,Economic_Outlook,0.1338,Jackson_Hole,-6.7277,-2.8156,-0.5284,-2.1782,0.25
Powell,pre_short,30,4,-2.0979,-1.1431,0.25,Economic_Outlook,0.2184,Jackson_Hole,-6.3237,-2.8699,-0.6893,-2.1979,0.25
Powell,pre_short,60,4,-2.1581,-0.9984,0.25,Economic_Outlook,0.5163,Jackson_Hole,-7.1518,-3.0495,-0.4935,-2.2581,0.25
Powell,pre_short,120,4,-2.2127,-1.1011,0.25,Economic_Outlook,0.5531,Jackson_Hole,-7.2015,-3.1346,-0.5497,-2.3127,0.25
NFP,pre_long,15,11,-0.1157,-0.0361,0.4545,NFP_Feb2025,1.2691,NFP_Dec2024,-1.7948,-0.2542,0.0522,-0.2157,0.4545
NFP,pre_long,30,11,-0.0723,0.1552,0.5455,NFP_Jan2025,1.0427,NFP_Dec2024,-1.856,-0.1838,0.1061,-0.1723,0.5455
NFP,pre_long,60,11,0.0669,0.1401,0.5455,NFP_Jan2025,1.5879,NFP_Dec2024,-1.077,-0.0853,0.1812,-0.0331,0.5455
NFP,pre_long,120,11,-0.2793,0.1543,0.5455,NFP_May2025,1.2254,NFP_Aug2025,-2.5325,-0.4297,-0.054,-0.3793,0.5455
NFP,pre_short,15,11,0.1157,0.0361,0.5455,NFP_Dec2024,1.7948,NFP_Feb2025,-1.2691,-0.0522,0.2542,0.0157,0.4545
NFP,pre_short,30,11,0.0723,-0.1552,0.4545,NFP_Dec2024,1.856,NFP_Jan2025,-1.0427,-0.1061,0.1838,-0.0277,0.3636
NFP,pre_short,60,11,-0.0669,-0.1401,0.4545,NFP_Dec2024,1.077,NFP_Jan2025,-1.5879,-0.1812,0.0853,-0.1669,0.3636
NFP,pre_short,120,11,0.2793,-0.1543,0.4545,NFP_Aug2025,2.5325,NFP_May2025,-1.2254,0.054,0.4297,0.1793,0.4545
ALL,pre_long,15,15,0.4693,0.1765,0.5333,Jackson_Hole,6.7277,NFP_Dec2024,-1.7948,0.0223,0.6311,0.3693,0.5333
ALL,pre_long,30,15,0.5064,0.5261,0.6,Jackson_Hole,6.3237,NFP_Dec2024,-1.856,0.0909,0.6752,0.4064,0.6
ALL,pre_long,60,15,0.6245,0.2185,0.6,Jackson_Hole,7.1518,NFP_Dec2024,-1.077,0.1583,0.746,0.5245,0.6
ALL,pre_long,120,15,0.3852,0.2125,0.6,Jackson_Hole,7.2015,NFP_Aug2025,-2.5325,-0.1016,0.5937,0.2852,0.6
ALL,pre_short,15,15,-0.4693,-0.1765,0.4667,NFP_Dec2024,1.7948,Jackson_Hole,-6.7277,-0.6311,-0.0223,-0.5693,0.4
ALL,pre_short,30,15,-0.5064,-0.5261,0.4,NFP_Dec2024,1.856,Jackson_Hole,-6.3237,-0.6752,-0.0909,-0.6064,0.3333
ALL,pre_short,60,15,-0.6245,-0.2185,0.4,NFP_Dec2024,1.077,Jackson_Hole,-7.1518,-0.746,-0.1583,-0.7245,0.3333
ALL,pre_short,120,15,-0.3852,-0.2125,0.4,NFP_Aug2025,2.5325,Jackson_Hole,-7.2015,-0.5937,0.1016,-0.4852,0.4
