group,strategy,exit_after_entry_min,n,mean,median,win_rate,best_event,best_value,worst_event,worst_value,mean_excl_largest_winner,mean_excl_largest_loser,mean_afterfees,win_rate_afterfees
Powell,momentum_entry+1m,5,4,0.3861,0.2033,0.75,Jackson_Hole,1.4797,NABE,-0.3418,0.0216,0.6288,0.2861,0.75
Powell,momentum_entry+1m,15,4,1.2423,0.0505,0.5,Jackson_Hole,5.2412,NABE,-0.3729,-0.0906,1.7808,1.1423,0.5
Powell,momentum_entry+1m,30,4,1.1651,0.1082,0.5,Jackson_Hole,4.6916,NABE,-0.2476,-0.0104,1.636,1.0651,0.5
Powell,momentum_entry+1m,60,4,1.4451,0.3608,0.75,Jackson_Hole,5.5836,NABE,-0.5247,0.0657,2.1018,1.3451,0.75
NFP,momentum_entry+1m,5,11,-0.1802,-0.2716,0.3636,NFP_Nov2025_Delayed,0.6162,NFP_Sep2025_Delayed,-0.6742,-0.2598,-0.1308,-0.2802,0.1818
NFP,momentum_entry+1m,15,11,-0.1225,-0.1369,0.2727,NFP_Nov2025_Delayed,0.7361,NFP_Sep2025_Delayed,-0.9774,-0.2083,-0.037,-0.2225,0.2727
NFP,momentum_entry+1m,30,11,-0.0176,0.0036,0.5455,NFP_Nov2025_Delayed,1.5114,NFP_Sep2025_Delayed,-1.4191,-0.1705,0.1226,-0.1176,0.2727
NFP,momentum_entry+1m,60,11,-0.2639,-0.4082,0.2727,NFP_Jan2025,1.1215,NFP_Feb2025,-1.3369,-0.4024,-0.1566,-0.3639,0.1818
ALL,momentum_entry+1m,5,15,-0.0292,-0.0336,0.4667,Jackson_Hole,1.4797,NFP_Sep2025_Delayed,-0.6742,-0.1369,0.0169,-0.1292,0.3333
ALL,momentum_entry+1m,15,15,0.2415,-0.1369,0.3333,Jackson_Hole,5.2412,NFP_Sep2025_Delayed,-0.9774,-0.1156,0.3285,0.1415,0.3333
ALL,momentum_entry+1m,30,15,0.2978,0.0036,0.5333,Jackson_Hole,4.6916,NFP_Sep2025_Delayed,-1.4191,-0.016,0.4204,0.1978,0.3333
ALL,momentum_entry+1m,60,15,0.1918,-0.3029,0.4,Jackson_Hole,5.5836,NFP_Feb2025,-1.3369,-0.1933,0.301,0.0918,0.3333
