event_date,event_name,event_type,event_time_utc
2025-06-24,Powell_Testimony_House,Powell,2025-06-24 14:00
2025-08-22,Jackson_Hole,Powell,2025-08-22 14:00
2025-09-23,Economic_Outlook,Powell,2025-09-23 16:35
2025-10-14,NABE,Powell,2025-10-14 16:20
2025-01-10,NFP_Dec2024,NFP,2025-01-10 13:30
2025-02-07,NFP_Jan2025,NFP,2025-02-07 13:30
2025-03-07,NFP_Feb2025,NFP,2025-03-07 13:30
2025-04-04,NFP_Mar2025,NFP,2025-04-04 12:30
2025-05-02,NFP_Apr2025,NFP,2025-05-02 12:30
2025-06-06,NFP_May2025,NFP,2025-06-06 12:30
2025-07-03,NFP_Jun2025,NFP,2025-07-03 12:30
2025-08-01,NFP_Jul2025,NFP,2025-08-01 12:30
2025-09-05,NFP_Aug2025,NFP,2025-09-05 12:30
2025-11-20,NFP_Sep2025_Delayed,NFP,2025-11-20 13:30
2025-12-16,NFP_Nov2025_Delayed,NFP,2025-12-16 13:30
