event_name,strategy,side,exit_offset_min,entry_price,exit_price,pnl_pct,pnl_pct_after_fees
Powell_Testimony_House,strat1_pre_long,long,15,2417.64,2428.09,0.43224,0.33224
Powell_Testimony_House,strat1_pre_long,long,30,2417.64,2430.36,0.526133,0.426133
Powell_Testimony_House,strat1_pre_long,long,60,2417.64,2429.98,0.510415,0.410415
Powell_Testimony_House,strat1_pre_long,long,120,2417.64,2437.0,0.800781,0.700781
Powell_Testimony_House,strat2_pre_short,short,15,2417.64,2428.09,-0.43224,-0.53224
Powell_Testimony_House,strat2_pre_short,short,30,2417.64,2430.36,-0.526133,-0.626133
Powell_Testimony_House,strat2_pre_short,short,60,2417.64,2429.98,-0.510415,-0.610415
Powell_Testimony_House,strat2_pre_short,short,120,2417.64,2437.0,-0.800781,-0.900781
Jackson_Hole,strat1_pre_long,long,15,4303.98,4593.54,6.727726,6.627726
Jackson_Hole,strat1_pre_long,long,30,4303.98,4576.15,6.323682,6.223682
Jackson_Hole,strat1_pre_long,long,60,4303.98,4611.79,7.151753,7.051753
Jackson_Hole,strat1_pre_long,long,120,4303.98,4613.93,7.201474,7.101474
Jackson_Hole,strat2_pre_short,short,15,4303.98,4593.54,-6.727726,-6.827726
Jackson_Hole,strat2_pre_short,short,30,4303.98,4576.15,-6.323682,-6.423682
Jackson_Hole,strat2_pre_short,short,60,4303.98,4611.79,-7.151753,-7.251753
Jackson_Hole,strat2_pre_short,short,120,4303.98,4613.93,-7.201474,-7.301474
Economic_Outlook,strat1_pre_long,long,15,4185.6,4180.0,-0.133792,-0.233792
Economic_Outlook,strat1_pre_long,long,30,4185.6,4176.46,-0.218368,-0.318368
Economic_Outlook,strat1_pre_long,long,60,4185.6,4163.99,-0.516294,-0.616294
Economic_Outlook,strat1_pre_long,long,120,4185.6,4162.45,-0.553087,-0.653087
Economic_Outlook,strat2_pre_short,short,15,4185.6,4180.0,0.133792,0.033792
Economic_Outlook,strat2_pre_short,short,30,4185.6,4176.46,0.218368,0.118368
Economic_Outlook,strat2_pre_short,short,60,4185.6,4163.99,0.516294,0.416294
Economic_Outlook,strat2_pre_short,short,120,4185.6,4162.45,0.553087,0.453087
NABE,strat1_pre_long,long,15,4063.6,4115.89,1.28679,1.18679
NABE,strat1_pre_long,long,30,4063.6,4135.12,1.760016,1.660016
NABE,strat1_pre_long,long,60,4063.6,4124.0,1.486367,1.386367
NABE,strat1_pre_long,long,120,4063.6,4120.55,1.401467,1.301467
NABE,strat2_pre_short,short,15,4063.6,4115.89,-1.28679,-1.38679
NABE,strat2_pre_short,short,30,4063.6,4135.12,-1.760016,-1.860016
NABE,strat2_pre_short,short,60,4063.6,4124.0,-1.486367,-1.586367
NABE,strat2_pre_short,short,120,4063.6,4120.55,-1.401467,-1.501467
