tp_pct,sl_pct,n_events_profitable_afterfees,min_pnl_afterfees,mean_pnl_afterfees,median_pnl_afterfees,std_pnl,mean_excl_JH,only_profitable_on_jackson_hole
1.5,1.0,3,-0.5404,0.0899,0.3,0.3639,0.0199,False
1.0,0.5,3,-1.2,-0.075,0.3,0.6495,0.3,False
3.0,1.0,2,-0.5404,0.3106,-0.0087,0.9072,-0.1859,False
2.0,1.0,2,-0.5404,0.1952,0.2606,0.6118,-0.0064,False
2.0,1.5,2,-0.7789,-0.0947,0.05,0.4446,-0.2263,False
1.5,0.5,2,-1.2,0.0899,0.3798,0.82,0.5199,False
2.0,0.5,2,-1.2,0.0702,0.0904,0.8889,0.4936,False
1.5,2.0,1,-0.7,-0.3053,-0.45,0.4446,-0.1737,False
0.5,1.0,1,-0.7,-0.325,-0.7,0.6495,-0.7,True
1.0,1.5,1,-0.7,-0.4899,-0.7,0.3639,-0.4199,False
3.0,2.0,1,-0.7385,-0.0846,-0.2,0.556,-0.3795,True
3.0,1.5,1,-0.7789,0.0207,-0.2192,0.7733,-0.4058,True
0.5,1.5,1,-1.2,-0.4899,-0.7798,0.82,-0.9199,True
3.0,0.5,1,-1.2,-0.5548,-0.6202,0.6518,-0.3397,False
1.0,2.0,1,-1.2,-0.5952,-0.6606,0.6118,-0.3936,False
0.5,2.0,1,-1.7,-0.4702,-0.4904,0.8889,-0.8936,True
0.5,0.5,0,-0.2,-0.2,-0.2,0.0,-0.2,False
1.0,1.0,0,-0.2,-0.2,-0.2,0.0,-0.2,False
1.5,1.5,0,-0.2,-0.2,-0.2,0.0,-0.2,False
2.0,2.0,0,-0.2,-0.2,-0.2,0.0,-0.2,False
