event,combined_after_fee,raw,year
CPI_Dec2022,0.3,0.5,2023
CPI_Jan2023,0.3,0.5,2023
CPI_Feb2023,0.3,0.5,2023
CPI_Mar2023,0.3,0.5,2023
CPI_Apr2023,0.3,0.5,2023
CPI_May2023,-2.2,-2.0,2023
CPI_Jun2023,-0.2,0.0,2023
CPI_Jul2023,-0.2,0.0,2023
CPI_Aug2023,-0.2,0.0,2023
CPI_Sep2023,-0.2,0.0,2023
CPI_Oct2023,-0.2,0.0,2023
CPI_Nov2023,0.3,0.5,2023
CPI_Dec2023,-2.2,-2.0,2024
CPI_Jan2024,0.3,0.5,2024
CPI_Feb2024,-0.794,-0.594,2024
CPI_Mar2024,0.3,0.5,2024
CPI_Apr2024,0.3,0.5,2024
CPI_May2024,0.3,0.5,2024
CPI_Jun2024,0.3,0.5,2024
CPI_Jul2024,0.3,0.5,2024
CPI_Aug2024,0.3,0.5,2024
CPI_Sep2024,-0.129,0.071,2024
CPI_Oct2024,0.3,0.5,2024
CPI_Nov2024,0.3,0.5,2024
